Município;Estado;Apólices contratadas;Total de Importância segurada (R$ mil);Total de Subvenção (R$ mil);Apólices indenizadas;índice de sinistralidade;grupo;grupo5;mun;uf;;;
Dois Irmãos das Missões;Rio Grande do Sul;7;2496397;110472,9;1;0,411838203;0;3;4306429;43;;;
Dois Lajeados;Rio Grande do Sul;140;12753407;375552,7;69;0,723741894;3;1;4306452;43;;;
Dois Vizinhos;Paraná;12;1131360,6;24245,3;0;0;0;3;4107207;41;;;
Dom Feliciano;Rio Grande do Sul;3;1061041,8;37273,5;0;0;0;3;4306502;43;;;
Dom Pedrito;Rio Grande do Sul;29;11557981;344816,3;4;1,224139477;3;1;4306601;43;;;
Dom Pedro de Alcântara;Rio Grande do Sul;1;36800;392,8;0;0;0;3;4306551;43;;;
Dona Francisca;Rio Grande do Sul;3;605850;8154;1;0,052934722;0;3;4306700;43;;;
Douradina;Paraná;4;1050324,5;29866,5;0;0;0;3;4107256;41;;;
Doutor Camargo;Paraná;85;5140641,2;199229,9;30;1,279837666;0;3;4107306;41;;;
Doutor Maurício Cardoso;Rio Grande do Sul;6;310076,8;11332,2;0;0;0;3;4306734;43;;;
Doutor Ulysses;Paraná;2;877493,4;17710,9;0;0;0;3;4128633;41;;;
Eldorado do Sul;Rio Grande do Sul;18;9324084,6;114350,3;1;0,647321903;3;1;4306767;43;;;
Encruzilhada do Sul;Rio Grande do Sul;42;13200579,7;405930,2;9;0,213937443;3;1;4306908;43;;;
Engenheiro Beltrão;Paraná;390;42928627,3;1345019,3;242;2,861392372;1;0;4107504;41;;;
Engenho Velho;Rio Grande do Sul;2;77937,9;5147,8;1;2,567461552;0;3;4306924;43;;;
Entre Rios;Santa Catarina;7;3604718,6;99564,6;1;0,153217153;0;3;4205175;42;;;
Entre Rios do Oeste;Paraná;39;2323022,4;105684,7;10;0,436896701;0;3;4107538;41;;;
Entre Rios do Sul;Rio Grande do Sul;1;33943,3;2324,8;0;0;0;3;4306957;43;;;
Entre-Ijuís;Rio Grande do Sul;19;4920674,9;186586,6;2;0,012431523;0;3;4306932;43;;;
Enéas Marques;Paraná;1;33600;1058,4;0;0;0;3;4107405;41;;;
Erebango;Rio Grande do Sul;7;477120,5;16585,2;1;0,14952613;0;3;4306973;43;;;
Erechim;Rio Grande do Sul;8;997358,6;31345;1;0,339947412;0;3;4307005;43;;;
Ermo;Santa Catarina;34;3571963,8;41780,7;2;0,051679765;0;3;4205191;42;;;
Ernestina;Rio Grande do Sul;33;3349213,3;112779;4;0,248665537;0;3;4307054;43;;;
Erval Seco;Rio Grande do Sul;5;1209548,7;50936,9;1;1,474701378;0;3;4307302;43;;;
Erval Velho;Santa Catarina;1;312000;4029,2;0;0;0;3;4205209;42;;;
Esmeralda;Rio Grande do Sul;38;8439521,5;261283,4;1;0,064221166;0;1;4307401;43;;;
Esperança do Sul;Rio Grande do Sul;1;171900;6138;0;0;0;3;4307450;43;;;
Espigão Alto do Iguaçu;Paraná;11;1782614,2;56775,4;1;0,524066532;0;3;4107546;41;;;
Espumoso;Rio Grande do Sul;51;10025317,5;324922,4;13;0,317469172;3;1;4307500;43;;;
Espírito Santo;-;4;486040,4;17672,4;0;0;0;3;0;-;;;
Estação;Rio Grande do Sul;14;588990,4;20884,5;2;0,611750369;0;3;4307559;43;;;
Estrela;Rio Grande do Sul;1;20000;465;1;0,428529953;0;3;4307807;43;;;
Estrela Velha;Rio Grande do Sul;3;1175119,2;25338,4;0;0;0;3;4307815;43;;;
Eugênio de Castro;Rio Grande do Sul;30;11241934;381717,6;7;0,894446097;3;1;4307831;43;;;
Fagundes Varela;Rio Grande do Sul;77;7246864,8;211601,8;7;0,518105951;0;1;4307864;43;;;
Faria Lemos;-;14;1452385,7;33824,4;7;0,936940485;0;3;0;-;;;
Farol;Paraná;102;23149527,6;563685,8;41;1,617046173;3;4;4107553;41;;;
Farroupilha;Rio Grande do Sul;703;63938585,1;2311918,6;307;3,321671886;1;0;4307906;43;;;
Faxinal;Paraná;84;23106646,9;655607,6;18;0,89877992;3;4;4107603;41;;;
Faxinal do Soturno;Rio Grande do Sul;2;713148;8500,2;0;0;0;3;4308003;43;;;
Faxinal dos Guedes;Santa Catarina;5;862240,2;27307,9;0;0;0;3;4205308;42;;;
Fazenda Souza;-;265;22719910,4;993386,5;68;1,082975402;3;4;0;-;;;
Fazenda Vilanova;Rio Grande do Sul;2;260931,7;7742,5;0;0;0;3;4308078;43;;;
Feliz;Rio Grande do Sul;4;515406,9;18040,8;0;0;0;3;4308102;43;;;
